x,y,z
        738,         68,         36
       1303,        235,       -153
       1729,        227,       -101
       2148,        458,         -7
       2414,        621,         61
       2779,        859,        202
       2857,       1112,        195
       2884,       1363,        111
       2818,       1596,        161
       2719,       1782,        128
       2630,       2027,        130
       2451,       2427,        197
       2325,       2722,        137
       2187,       2954,        206
       1943,       3215,        270
       1768,       3385,        282
       1549,       3517,        399
       1175,       3656,        551
        741,       3749,        552
        413,       3933,        487
         77,       3936,        392
       -309,       3897,        448
       -773,       3908,        519
      -1044,       3773,        581
      -1337,       3597,        674
      -1767,       3510,        722
      -1931,       3372,        890
      -2194,       3297,        880
      -2558,       3121,        844
      -2823,       2809,        765
      -3041,       2561,        911
      -3299,       2184,       1001
      -3591,       1886,       1033
      -3693,       1450,       1045
      -3779,       1059,       1180
      -3755,        630,       1153
      -3695,        188,       1126
      -3697,       -159,       1194
      -3739,       -405,       1257
      -3702,       -787,       1296
      -3555,      -1250,       1419
      -3395,      -1595,       1548
      -3266,      -2049,       1624
      -2956,      -2522,       1733
      -2723,      -2784,       1739
      -2480,      -3079,       1830
      -2136,      -3255,       1785
      -1725,      -3430,       1899
      -1556,      -3522,       1918
      -1294,      -3742,       1862
       -824,      -3750,       1824
       -440,      -3787,       1901
         12,      -3854,       2073
        434,      -3707,       2144
        896,      -3645,       2293
       1204,      -3611,       2247
       1428,      -3503,       2182
       1807,      -3265,       2139
       2067,      -3096,       2289
       2324,      -2790,       2355
       2593,      -2464,       2457
       2912,      -2177,       2415
       3112,      -1827,       2369
       3392,      -1419,       2471
       3463,      -1158,       2390
       3573,       -951,       2400
       3652,       -700,       2476
       3740,       -321,       2511
       3870,        152,       2610
       3715,        599,       2727
       3693,       1060,       2675
       3460,       1483,       2794
       3344,       1818,       2851
       3202,       2220,       2941
       3025,       2579,       2984
       2752,       2764,       3047
       2469,       2767,       3007
       2286,       3030,       3099
       1914,       3255,       3168
       1638,       3390,       3206
       1275,       3442,       3243
        839,       3583,       3342
        519,       3605,       3344
         25,       3567,       3463
       -313,       3597,       3481
       -765,       3527,       3517
      -1136,       3589,       3499
      -1492,       3461,       3522
      -1719,       3305,       3551
      -2112,       3148,       3590
      -2496,       2920,       3719
      -2729,       2565,       3825
      -3137,       2172,       3867
      -3297,       1889,       3885
      -3431,       1455,       3878
      -3537,       1111,       3957
      -3567,        777,       4073
      -3684,        545,       4106
      -3667,        239,       4109
      -3739,       -214,       4180
      -3648,       -576,       4252
      -3590,       -934,       4315
      -3517,      -1120,       4299
      -3351,      -1371,       4321
      -3115,      -1581,       4416
      -2981,      -1956,       4458
      -2832,      -2325,       4546
      -2694,      -2587,       4604
      -2316,      -2804,       4580
      -1972,      -2947,       4594
      -1558,      -3200,       4711
      -1267,      -3480,       4823
       -821,      -3518,       4880
       -406,      -3745,       4623
         69,      -3710,       4734
        412,      -3785,       4696
        744,      -3649,       4614
       1110,      -3421,       4679
       1521,      -3281,       4825
       1858,      -3141,       4850
       2170,      -2988,       4995
       2465,      -2880,       5087
       2776,      -2604,       5117
       2932,      -2415,       5256
       3253,      -2074,       5297
       3473,      -1841,       5273
       3648,      -1536,       5345
       3827,      -1152,       5232
       3803,       -819,       5339
       3839,       -379,       5427
       3800,        -54,       5514
       3777,        319,       5475
       3724,        864,       5476
       3541,       1327,       5604
       3295,       1632,       5668
       3218,       1944,       5608
       3027,       2331,       5593
       2904,       2550,       5736
       2661,       2771,       5806
       2469,       2966,       5822
       2066,       3192,       5872
       1645,       3451,       5973
       1319,       3647,       6009
        848,       3832,       5993
        541,       3976,       6122
         58,       4068,       6361
       -331,       4095,       6271
       -755,       3972,       6227
      -1050,       3880,       6312
      -1379,       3762,       6221
      -1784,       3558,       6176
      -2162,       3434,       6255
      -2403,       3241,       6396
      -2606,       2926,       6511
      -2767,       2599,       6528
      -2994,       2290,       6510
      -3259,       1978,       6599
      -3391,       1672,       6554
      -3593,       1206,       6649
      -3632,        947,       6762
      -3684,        604,       6732
      -3785,        146,       6711
      -3796,       -257,       6777
      -3769,       -781,       6805
      -3639,      -1203,       6903
      -3461,      -1613,       7006
      -3305,      -1946,       7113
      -3139,      -2166,       7169
      -2911,      -2455,       7088
      -2677,      -2725,       7252
      -2414,      -2895,       7290
      -2119,      -3090,       7396
      -1772,      -3277,       7458
      -1363,      -3483,       7350
       -974,      -3537,       7342
       -741,      -3654,       7424
       -413,      -3799,       7521
        127,      -3780,       7549
        551,      -3769,       7566
        839,      -3811,       7659
       1151,      -3651,       7737
       1490,      -3549,       7793
       1932,      -3341,       7888
       2202,      -3070,       7944
       2531,      -2887,       8092
       2729,      -2606,       8078
       2946,      -2351,       8096
       3122,      -1987,       8198
       3229,      -1725,       8237
       3335,      -1393,       8322
       3436,       -932,       8330
       3545,       -604,       8379
       3779,       -174,       8361
       3782,        276,       8474
       3747,        714,       8573
       3605,       1012,       8627
       3484,       1410,       8610
       3277,       1805,       8641
       3176,       2164,       8619
       3036,       2557,       8570
